"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "XML", "comment", "blank", "total"
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\ui\select-simple.tsx", "TypeScript JSX", 0, 50, 0, 0, 0, 3, 53
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\ui\select.tsx", "TypeScript JSX", 0, 146, 0, 0, 0, 14, 160
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\ui\separator.tsx", "TypeScript JSX", 0, 26, 0, 0, 0, 4, 30
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\ui\sheet.tsx", "TypeScript JSX", 0, 125, 0, 0, 0, 16, 141
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\ui\sidebar.tsx", "TypeScript JSX", 0, 696, 0, 0, 12, 54, 762
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\ui\skeleton.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 3, 16
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\ui\slider.tsx", "TypeScript JSX", 0, 23, 0, 0, 0, 4, 27
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\ui\sonner.tsx", "TypeScript JSX", 0, 26, 0, 0, 0, 6, 32
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\ui\switch.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 4, 28
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\ui\table.tsx", "TypeScript JSX", 0, 110, 0, 0, 0, 11, 121
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\ui\tabs.tsx", "TypeScript JSX", 0, 47, 0, 0, 0, 7, 54
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\ui\textarea.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 4, 23
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\ui\toast.tsx", "TypeScript JSX", 0, 115, 0, 0, 0, 13, 128
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\ui\toaster.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 3, 34
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\ui\toggle-group.tsx", "TypeScript JSX", 0, 51, 0, 0, 0, 9, 60
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\ui\toggle.tsx", "TypeScript JSX", 0, 39, 0, 0, 0, 7, 46
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\ui\tooltip.tsx", "TypeScript JSX", 0, 25, 0, 0, 0, 8, 33
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\contexts\AuthContext.tsx", "TypeScript JSX", 0, 54, 0, 0, 1, 11, 66
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\hooks\use-filters.ts", "TypeScript", 99, 0, 0, 0, 9, 13, 121
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\hooks\use-mobile.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 5, 20
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\hooks\use-toast.ts", "TypeScript", 160, 0, 0, 0, 3, 32, 195
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\hooks\use-update-item.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\index.css", "CSS", 0, 0, 6, 0, 0, 2, 8
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\lib\api.ts", "TypeScript", 145, 0, 0, 0, 19, 30, 194
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\lib\format.ts", "TypeScript", 90, 0, 0, 0, 14, 12, 116
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\lib\utils.ts", "TypeScript", 5, 0, 0, 0, 0, 2, 7
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\main.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 4, 17
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\pages\AgentDetail.tsx", "TypeScript JSX", 0, 356, 0, 0, 20, 35, 411
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\pages\CallItems.tsx", "TypeScript JSX", 0, 294, 0, 0, 13, 20, 327
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\pages\Dashboard.tsx", "TypeScript JSX", 0, 174, 0, 0, 8, 14, 196
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\pages\Login.tsx", "TypeScript JSX", 0, 315, 0, 0, 8, 29, 352
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\pages\Transcription.tsx", "TypeScript JSX", 0, 189, 0, 0, 6, 18, 213
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 1, 1, 2
"Total", "-", 499, 7524, 43, 35, 187, 931, 9219
